City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
95,gimbi,9.1667,35.8333,288.85,87,35,0.55,ET
96,frisco,33.1507,-96.8236,287.67,69,77,0.45,US
97,guanica,17.9716,-66.908,299.29,62,0,3.4,PR
98,marsh harbour,26.5412,-77.0636,298.37,78,100,4.86,BS
99,reserva,-24.6503,-50.8506,293.02,79,8,1.13,BR
100,happy valley-goose bay,53.3168,-60.3315,267.32,73,40,3.6,CA
101,afaahiti,-17.75,-149.2833,300.08,90,96,6.7,PF
102,ust'-kut,56.7938,105.7672,270.62,89,100,4.92,RU
103,zhouzhuang,31.1161,120.8451,288.12,42,0,2.53,CN
104,san antonio de pale,-1.4014,5.6325,299.28,79,19,3.07,GQ
105,tura,25.5198,90.2201,298.96,60,18,0.65,IN
106,revelstoke,50.9832,-118.2023,275.16,100,75,2.06,CA
107,kodiak,57.79,-152.4072,278.88,45,75,8.23,US
108,cabo san lucas,22.8909,-109.9124,300.24,64,19,1.31,MX
109,sirte,31.2089,16.5887,295.35,67,80,4.85,LY
110,sao gabriel da cachoeira,-0.1303,-67.0892,297.19,92,68,0.91,BR
111,usogorsk,63.4106,48.6872,272.41,94,100,2.6,RU
112,trevelin,-43.0858,-71.4639,277.86,91,57,2.1,AR
113,dul'durga,50.6761,113.5931,272.63,55,41,2.25,RU
114,porto novo,6.4965,2.6036,298.05,88,5,0.61,BJ
115,petropavlovsk-kamchatsky,53.0452,158.6483,270.07,74,0,12.52,RU
116,kerikeri,-35.2268,173.9474,287.44,87,100,4.05,NZ
117,hamilton,39.1834,-84.5333,282.28,60,0,0.89,US
118,hovd,48.0056,91.6419,271.33,71,100,0.66,MN
119,vadso,70.0744,29.7487,270.24,93,75,5.14,NO
120,tolanaro,-25.0319,46.9987,298.19,78,20,4.12,MG
121,yeed,4.55,43.0333,299.37,74,32,2.87,SO
122,santa ana,33.7456,-117.8678,292.73,70,20,2.57,US
123,poshekhon'ye,58.4993,39.1353,276.6,97,100,5.44,RU
124,sampit,-2.5333,112.95,306.12,58,85,1.11,ID
125,lebu,-37.6167,-73.65,281.93,90,33,4.5,CL
126,fort mcmurray,56.7268,-111.381,269.92,93,100,0.0,CA
127,olonkinbyen,70.9221,-8.7187,271.82,78,97,4.02,SJ
128,pursat,12.3333,103.6667,303.81,60,96,4.29,KH
129,codrington,-38.2667,141.9667,289.16,61,100,4.97,AU
130,punta arenas,-53.15,-70.9167,276.21,70,20,8.23,CL
131,wajir,1.7471,40.0573,298.13,94,75,0.0,KE
132,kijang,35.2442,129.2139,284.0,27,1,2.21,KR
133,karratha,-20.7377,116.8463,303.81,36,11,8.7,AU
134,marka,1.7159,44.7717,301.66,73,92,3.18,SO
135,kajiado,-1.8524,36.7768,289.87,86,76,2.68,KE
136,hasaki,35.7333,140.8333,290.37,35,1,1.47,JP
137,xining,36.6167,101.7667,278.92,34,0,0.68,CN
138,newman,37.3138,-121.0208,286.09,75,30,2.44,US
139,thunder bay,48.4001,-89.3168,269.14,93,20,1.54,CA
140,fort st. john,56.2499,-120.8529,269.09,86,0,5.14,CA
141,anadyr,64.75,177.4833,258.43,77,4,11.62,RU
142,yellowknife,62.456,-114.3525,269.44,86,100,5.66,CA
143,saudarkrokur,65.7461,-19.6394,271.56,82,11,4.33,IS
144,ilulissat,69.2167,-51.1,268.16,68,100,4.12,GL
145,tomohon,1.3346,124.8392,302.67,71,78,0.85,ID
146,ambon,-3.6954,128.1814,305.23,62,20,3.6,ID
147,ta`u,-14.2336,-169.5144,300.66,81,66,5.21,AS
148,hirado,33.3597,129.5531,288.92,61,29,6.47,JP
149,san luis de la loma,17.2706,-100.8939,299.75,83,36,2.63,MX
150,greenbrier,36.4276,-86.8047,285.03,57,75,0.0,US
151,zunyi,27.6867,106.9072,284.21,73,99,1.75,CN
152,lorengau,-2.0226,147.2712,302.2,71,81,3.14,PG
153,road town,18.4167,-64.6167,300.2,72,3,8.2,VG
154,pandan,14.0453,124.1694,300.57,86,92,7.58,PH
155,invercargill,-46.4,168.35,282.05,91,90,9.39,NZ
156,olyokminsk,60.3736,120.4264,267.72,86,100,2.47,RU
157,mazatlan,23.2167,-106.4167,299.77,77,0,0.45,MX
158,kailua-kona,19.6406,-155.9956,300.13,79,75,2.06,US
159,peace river,56.2501,-117.286,269.32,93,100,2.06,CA
160,ladario,-19.0047,-57.6017,302.18,48,43,1.32,BR
161,fale old settlement,-9.3852,-171.2468,299.94,82,100,0.8,TK
162,beyneu,45.3167,55.2,281.31,40,52,10.01,KZ
163,gadzhiyevo,69.2551,33.3362,263.84,98,95,1.35,RU
164,istgah-e rah ahan-e garmsar,35.2346,52.3094,291.41,34,80,1.01,IR
165,jand,33.4299,72.0193,294.77,39,0,0.96,PK
166,vila franca do campo,37.7167,-25.4333,291.38,99,81,2.6,PT
167,thompson,55.7435,-97.8558,270.24,93,75,1.54,CA
168,puyang chengguanzhen,35.7028,115.0053,284.84,36,0,2.29,CN
169,fortuna,40.5982,-124.1573,286.44,95,100,0.0,US
170,yangambi,0.8102,24.4336,294.64,100,100,1.29,CD
171,bechar,31.6167,-2.2167,290.54,33,100,0.1,DZ
172,motueka,-41.1333,173.0167,288.52,85,73,3.55,NZ
173,cidreira,-30.1811,-50.2056,293.03,98,100,0.73,BR
174,vernon,50.2581,-119.2691,279.35,72,17,0.89,CA
175,port mathurin,-19.6833,63.4167,298.69,77,1,3.46,MU
176,udachny,66.4167,112.4,266.18,85,100,3.52,RU
177,bonthe,7.5264,-12.505,298.92,87,85,1.18,SL
178,isafjordur,66.0755,-23.124,274.54,84,42,3.1,IS
179,harper,4.375,-7.7169,298.62,86,6,1.86,LR
180,tshabong,-26.05,22.45,296.38,14,11,6.89,BW
181,ribeira grande,38.5167,-28.7,289.69,80,100,2.68,PT
